;;'***' 표시된 항목은 필수값입니다.
[PROJECT:START]
가곡(4423010022)-20230220
[PROJECT:END]
[SET_WATER_MANAGE:START]
;;물관리기간 설정,,,(㎜),(㎜)
;;순번,시작날짜,종료날짜,관리수심,배수조절
1,05/01/2020,09/10/2020,60,0
[SET_WATER_MANAGE:END]
[WATER_INSUPPLY:START]
;;순번,수원객체ID,객체유형,초기수심(m),증발계수,공급순번,공급객체ID,운영조건,시작시간,종료시간,비고,설명
1,IR_4423010022_TANK,1,7,0.72,1,IP_4423010022_PUMP,1,4,18,가곡,
2,IT_4423020034_TANK,1,2,0,1,IP_4423020034_PUMP,1,4,18,율리,
[WATER_INSUPPLY:END]
[WATER_INSUPPLY_DETAIL:START]
;;,,,,전체시스템,가곡,,율리,
;;$$,,,,수면증발량,IR_4423010022_TANK,IP_4423010022_PUMP,IT_4423020034_TANK,IP_4423020034_PUMP
;;순번,년,월,일,(㎜),유입량(천톤),공급량(천톤),유입량(천톤),공급량(천톤)
95,2020,08,03,4.80000019073486,60,60.0000000,30,30.0000000
96,2020,08,04,4.80000019073486,60,60.0000000,30,30.0000000
97,2020,08,05,3.70000004768372,60,60.0000000,30,30.0000000
98,2020,08,06,2.40000009536743,60,60.0000000,30,30.0000000
99,2020,08,07,1.20000004768372,0,0,0,0
100,2020,08,08,1.5,0,0,0,0
101,2020,08,09,4.69999980926514,60,60.0000000,30,30.0000000
102,2020,08,10,2.40000009536743,0,0,0,0
103,2020,08,11,3.59999990463257,60,60.0000000,30,30.0000000
104,2020,08,12,3,60,60.0000000,30,30.0000000
105,2020,08,13,6.19999980926514,60,60.0000000,30,30.0000000
106,2020,08,14,7,60,60.0000000,30,30.0000000
107,2020,08,15,6.30000019073486,60,60.0000000,30,30.0000000
108,2020,08,16,6.30000019073486,60,60.0000000,30,30.0000000
109,2020,08,17,6.5,60,60.0000000,30,30.0000000
110,2020,08,18,5.69999980926514,60,60.0000000,30,30.0000000
111,2020,08,19,5.30000019073486,60,60.0000000,30,30.0000000
112,2020,08,20,5.09999990463257,60,60.0000000,30,30.0000000
113,2020,08,21,4.90000009536743,60,60.0000000,30,30.0000000
114,2020,08,22,4,60,60.0000000,30,30.0000000
115,2020,08,23,6.19999980926514,60,60.0000000,30,30.0000000
116,2020,08,24,6.40000009536743,60,60.0000000,30,30.0000000
117,2020,08,25,5.09999990463257,60,60.0000000,30,30.0000000
118,2020,08,26,4.09999990463257,0,0,0,0
119,2020,08,27,3.40000009536743,0,0,0,0
120,2020,08,28,3.40000009536743,60,60.0000000,30,30.0000000
121,2020,08,29,3.70000004768372,60,60.0000000,30,30.0000000
122,2020,08,30,4.5,60,60.0000000,30,30.0000000
123,2020,08,31,3.29999995231628,60,60.0000000,30,30.0000000
124,2020,09,01,3.40000009536743,60,60.0000000,30,0.1503
125,2020,09,02,2.40000009536743,0,0,0,0
126,2020,09,03,6.40000009536743,0,0,0,0
127,2020,09,04,5.09999990463257,60,60.0000000,30,0.1503
128,2020,09,05,1.10000002384186,60,60.0000000,30,0.1503
129,2020,09,06,1.79999995231628,60,60.0000000,30,0.1503
130,2020,09,07,4.09999990463257,0,0,0,0
131,2020,09,08,5.09999990463257,60,60.0000000,30,0.1503
132,2020,09,09,3.5,60,60.0000000,30,0.1503
133,2020,09,10,2.70000004768372,60,60.0000000,30,0.1503
[WATER_INSUPPLY_DETAIL:END]
[STORAGE_CURVE:START]
;;순번,객체ID,곡선종거수,만수위수심,비고
1,IR_4423010022_TANK,16,7,가곡
2,IT_4423020034_TANK,2,2,율리
[STORAGE_CURVE:END]
[STORAGE_CURVE_DETAIL:START]
;;수원공ID,수심(m),수면적(천m2),비고
IR_4423010022_TANK,0.01,24.339,가곡
IR_4423010022_TANK,0.5,27.442,가곡
IR_4423010022_TANK,1,30.941,가곡
IR_4423010022_TANK,1.5,34.886,가곡
IR_4423010022_TANK,2,39.334,가곡
IR_4423010022_TANK,2.5,54.411,가곡
IR_4423010022_TANK,3,69.488,가곡
IR_4423010022_TANK,3.5,86.728,가곡
IR_4423010022_TANK,4,103.969,가곡
IR_4423010022_TANK,4.5,138.003,가곡
IR_4423010022_TANK,5,172.038,가곡
IR_4423010022_TANK,5.5,190.677,가곡
IR_4423010022_TANK,6,209.316,가곡
IR_4423010022_TANK,6.5,216.24,가곡
IR_4423010022_TANK,6.7,223.165,가곡
IR_4423010022_TANK,7.7,229.645,가곡
IT_4423020034_TANK,0,60,율리
IT_4423020034_TANK,2.5,60,
[STORAGE_CURVE_DETAIL:END]
[GATE_CONTROL:START]
;;수문조작을 설정한다.
;;수문개수, 11
;;순번,구분,수문ID,객체유형,제어설정,고정개도율,시설코드,객체명,옵션
1,분수문,IG_44_C,1,1,1,44230B0123,가곡 1-1-0 용수지선-분수,1유형+1변조제어
2,분수문,IG_51_C,1,1,1,44230B0161,보가디 0-1-0 용수지선-분수,1유형+1변조제어
3,분수문,IG_88_C,1,1,1,44230B0124,가곡1-2(율리)-분수,1유형+1변조제어
4,분수문,IG_147_C,1,1,1,44230B0159,가곡1-3(산두)-분수,1유형+1변조제어
5,분수문,IG_153_C,1,1,1,44230B0160,가곡 1-4-0 용수지선-분수,1유형+1변조제어
6,유말,IE_49_C,3,0,1,44230B0123,가곡 1-1-0 용수지선-유말,3유형+0개도율고정
7,유말,IE_62_C,3,0,1,44230B0161,보가디 0-1-0 용수지선-유말,3유형+0개도율고정
8,유말,IE_118_C,3,0,1,44230B0124,가곡1-2(율리)-유말,3유형+0개도율고정
9,유말,IE_161_C,3,0,1,44230B0160,가곡 1-4-0 용수지선-유말,3유형+0개도율고정
10,유말,IE_163_C,3,0,1,44230B0159,가곡1-3(산두)-유말,3유형+0개도율고정
11,유말,IE_174_C,3,0,1,44230A0050,가곡 1-0-0 용수간선-유말,3유형+0개도율고정
[GATE_CONTROL:END]
[GATE_CONTROL_DETAIL:START]
;;,,,,수문1,수문2,수문3,수문4,수문5
;;,,,,가곡 1-1-0 용수지선-분수,보가디 0-1-0 용수지선-분수,가곡1-2(율리)-분수,가곡1-3(산두)-분수,가곡 1-4-0 용수지선-분수
;;$$순번,년,월,일,IG_44_C,IG_51_C,IG_88_C,IG_147_C,IG_153_C
1,2020,05,01,1,1,1,1,1
2,2020,05,02,1,1,1,1,1
3,2020,05,03,1,1,1,1,1
4,2020,05,04,1,1,1,1,1
5,2020,05,05,1,1,1,1,1
6,2020,05,06,1,1,1,1,1
7,2020,05,07,1,1,1,1,1
8,2020,05,08,1,1,1,1,1
9,2020,05,09,1,1,1,1,1
10,2020,05,10,1,1,1,1,1
11,2020,05,11,1,1,1,1,1
12,2020,05,12,1,1,1,1,1
13,2020,05,13,1,1,1,1,1
14,2020,05,14,1,1,1,1,1
15,2020,05,15,1,1,1,1,1
16,2020,05,16,1,1,1,1,1
17,2020,05,17,1,1,1,1,1
18,2020,05,18,1,1,1,1,1
19,2020,05,19,1,1,1,1,1
20,2020,05,20,1,1,1,1,1
21,2020,05,21,1,1,1,1,1
22,2020,05,22,1,1,1,1,1
23,2020,05,23,1,1,1,1,1
24,2020,05,24,1,1,1,1,1
25,2020,05,25,1,1,1,1,1
26,2020,05,26,1,1,1,1,1
27,2020,05,27,1,1,1,1,1
28,2020,05,28,1,1,1,1,1
29,2020,05,29,1,1,1,1,1
30,2020,05,30,1,1,1,1,1
31,2020,05,31,1,1,1,1,1
32,2020,06,01,1,1,1,1,1
33,2020,06,02,1,1,1,1,1
34,2020,06,03,1,1,1,1,1
35,2020,06,04,1,1,1,1,1
36,2020,06,05,1,1,1,1,1
37,2020,06,06,1,1,1,1,1
38,2020,06,07,1,1,1,1,1
39,2020,06,08,1,1,1,1,1
40,2020,06,09,1,1,1,1,1
41,2020,06,10,1,1,1,1,1
42,2020,06,11,1,1,1,1,1
43,2020,06,12,1,1,1,1,1
44,2020,06,13,1,1,1,1,1
45,2020,06,14,1,1,1,1,1
46,2020,06,15,1,1,1,1,1
47,2020,06,16,1,1,1,1,1
48,2020,06,17,1,1,1,1,1
49,2020,06,18,1,1,1,1,1
50,2020,06,19,1,1,1,1,1
51,2020,06,20,1,1,1,1,1
52,2020,06,21,1,1,1,1,1
53,2020,06,22,1,1,1,1,1
54,2020,06,23,1,1,1,1,1
55,2020,06,24,1,1,1,1,1
56,2020,06,25,1,1,1,1,1
57,2020,06,26,1,1,1,1,1
58,2020,06,27,1,1,1,1,1
59,2020,06,28,1,1,1,1,1
60,2020,06,29,1,1,1,1,1
61,2020,06,30,1,1,1,1,1
62,2020,07,01,1,1,1,1,1
63,2020,07,02,1,1,1,1,1
64,2020,07,03,1,1,1,1,1
65,2020,07,04,1,1,1,1,1
66,2020,07,05,1,1,1,1,1
67,2020,07,06,1,1,1,1,1
68,2020,07,07,1,1,1,1,1
69,2020,07,08,1,1,1,1,1
70,2020,07,09,1,1,1,1,1
71,2020,07,10,1,1,1,1,1
72,2020,07,11,1,1,1,1,1
73,2020,07,12,1,1,1,1,1
74,2020,07,13,1,1,1,1,1
75,2020,07,14,1,1,1,1,1
76,2020,07,15,1,1,1,1,1
77,2020,07,16,1,1,1,1,1
78,2020,07,17,1,1,1,1,1
79,2020,07,18,1,1,1,1,1
80,2020,07,19,1,1,1,1,1
81,2020,07,20,1,1,1,1,1
82,2020,07,21,1,1,1,1,1
83,2020,07,22,1,1,1,1,1
84,2020,07,23,1,1,1,1,1
85,2020,07,24,1,1,1,1,1
86,2020,07,25,1,1,1,1,1
87,2020,07,26,1,1,1,1,1
88,2020,07,27,1,1,1,1,1
89,2020,07,28,1,1,1,1,1
90,2020,07,29,1,1,1,1,1
91,2020,07,30,1,1,1,1,1
92,2020,07,31,1,1,1,1,1
93,2020,08,01,1,1,1,1,1
94,2020,08,02,1,1,1,1,1
95,2020,08,03,1,1,1,1,1
96,2020,08,04,1,1,1,1,1
97,2020,08,05,1,1,1,1,1
98,2020,08,06,1,1,1,1,1
99,2020,08,07,1,1,1,1,1
100,2020,08,08,1,1,1,1,1
101,2020,08,09,1,1,1,1,1
102,2020,08,10,1,1,1,1,1
103,2020,08,11,1,1,1,1,1
104,2020,08,12,1,1,1,1,1
105,2020,08,13,1,1,1,1,1
106,2020,08,14,1,1,1,1,1
107,2020,08,15,1,1,1,1,1
108,2020,08,16,1,1,1,1,1
109,2020,08,17,1,1,1,1,1
110,2020,08,18,1,1,1,1,1
111,2020,08,19,1,1,1,1,1
112,2020,08,20,1,1,1,1,1
113,2020,08,21,1,1,1,1,1
114,2020,08,22,1,1,1,1,1
115,2020,08,23,1,1,1,1,1
116,2020,08,24,1,1,1,1,1
117,2020,08,25,1,1,1,1,1
118,2020,08,26,1,1,1,1,1
119,2020,08,27,1,1,1,1,1
120,2020,08,28,1,1,1,1,1
121,2020,08,29,1,1,1,1,1
122,2020,08,30,1,1,1,1,1
123,2020,08,31,1,1,1,1,1
124,2020,09,01,1,1,1,1,1
125,2020,09,02,1,1,1,1,1
126,2020,09,03,1,1,1,1,1
127,2020,09,04,1,1,1,1,1
128,2020,09,05,1,1,1,1,1
129,2020,09,06,1,1,1,1,1
130,2020,09,07,1,1,1,1,1
131,2020,09,08,1,1,1,1,1
132,2020,09,09,1,1,1,1,1
133,2020,09,10,1,1,1,1,1
[GATE_CONTROL_DETAIL:END]
[RAIN_CONUSE:START]
;;수혜구역의 강우량 및 소비수량 시계열값을 입력한다.
;RNCU코드,1
;;순번,년,월,일,강우량(㎜),소비수량(실제증발산량),RNCU코드
1,2020,05,01,0,3.21108484268188,1
2,2020,05,02,0,2.36010313034058,1
3,2020,05,03,27,1.09268879890442,1
4,2020,05,04,0,2.57497525215149,1
5,2020,05,05,0,1.31505358219147,1
6,2020,05,06,0,3.05480551719666,1
7,2020,05,07,0,3.09115529060364,1
8,2020,05,08,1.7,2.70415043830872,1
9,2020,05,09,39,1.06637442111969,1
10,2020,05,10,0,2.84632873535156,1
11,2020,05,11,0,3.32153367996216,1
12,2020,05,12,0,3.64570641517639,1
13,2020,05,13,0,3.30744409561157,1
14,2020,05,14,0,2.59819841384888,1
15,2020,05,15,12.1,1.12683761119843,1
16,2020,05,16,0,1.6838583946228,1
17,2020,05,17,0,2.77280640602112,1
18,2020,05,18,3.8,1.29183042049408,1
19,2020,05,19,0.7,1.87761282920837,1
20,2020,05,20,0,2.26438808441162,1
21,2020,05,21,0,2.62032008171082,1
22,2020,05,22,0,3.51221251487732,1
23,2020,05,23,0,3.6380774974823,1
24,2020,05,24,0,3.26910758018494,1
25,2020,05,25,0,2.51105260848999,1
26,2020,05,26,0,3.07539010047913,1
27,2020,05,27,0,4.23471021652222,1
28,2020,05,28,0,4.46274757385254,1
